id:ID	name	description
umls_source:ATC	Anatomical Therapeutic Chemical Classification System v2023AA	
umls_source:CHV	Consumer Health Vocabulary v2012AA	
umls_source:DRUGBANK	DrugBank v2023AA	
umls_source:FMA	Foundational Model of Anatomy v2019AB	
umls_source:GO	Gene Ontology v2022AB	
umls_source:HCPCS	HCPCS - Healthcare Common Procedure Coding System v2023AA	
umls_source:HGNC	HUGO Gene Nomenclature Committee v2022AB	
umls_source:HL7	HL7 Version 3.0 v2023AA	
umls_source:HPO	Human Phenotype Ontology v2023AA	
umls_source:ICD10PCS	ICD-10 Procedure Coding System v2022AB	
umls_source:ICD9CM	International Classification of Diseases, Ninth Revision, Clinical Modification v2015AA	
umls_source:MED-RT	Medication Reference Terminology v2023AA	
umls_source:MEDLINEPLUS	MedlinePlus Health Topics v2023AA	
umls_source:MSH	MeSH v2023AA	
umls_source:MTH	Metathesaurus Names v1990AA	
umls_source:NCBITAXON	NCBI Taxonomy v2023AA	
umls_source:NCI	NCI Thesaurus v2023AA	
umls_source:NDDF	FDB MedKnowledge v2023AA	
umls_source:OMIM	Online Mendelian Inheritance in Man v2023AA	
umls_source:PDQ	Physician Data Query v2019AA	
umls_source:PSY	Psychological Index Terms v2005AB	
umls_source:RXNORM	RXNORM v2023AA	
umls_source:VANDF	National Drug File v2023AA	
UMLS:C3653992	ALIMENTARY TRACT AND METABOLISM DRUGS	UMLS Semantic Type: STY:T121
UMLS:C3653755	STOMATOLOGICAL PREPARATIONS	UMLS Semantic Type: STY:T121
UMLS:C3653508	Caries prophylactic agents	UMLS Semantic Type: STY:T122
